RepRapFirmware height map file v2 generated at 2020-12-07 12:12
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
23.00,235.00,5.00,186.00,-1.00,30.25,30.00,8,7
  0.010,  0.017,  0.007, -0.002, -0.060, -0.118, -0.160, -0.275
  0.025,  0.040,  0.038,  0.002, -0.045, -0.120, -0.212, -0.315
  0.080,  0.088,  0.083,  0.033, -0.040, -0.127, -0.232, -0.367
  0.123,  0.095,  0.085,  0.035, -0.050, -0.165, -0.305, -0.435
  0.155,  0.127,  0.093,  0.028, -0.075, -0.202, -0.362, -0.517
  0.210,  0.178,  0.123,  0.033, -0.095, -0.230, -0.392, -0.567
  0.280,  0.208,  0.125,  0.005, -0.118, -0.287, -0.467, -0.645
