Sample,X,Y,Z
175,0.0201,0.8459,-0.2066
176,0.1846,0.9038,-0.2538
177,0.0576,1.0765,-0.0226
178,-0.1020,1.1795,-0.0873
179,0.0803,1.1667,-0.1529
180,-0.0182,1.0012,-0.1996
181,-0.4323,0.8160,-0.0754
182,-0.0060,0.9974,-0.1255
183,0.2456,1.3644,-0.1511
184,0.2610,1.0645,-0.2573
185,-0.1275,0.5098,-0.3141
186,-0.2654,0.5082,-0.2476
187,0.1912,0.8491,-0.4499
188,0.3777,1.3027,-0.4700
189,0.3842,1.0875,-0.4465
190,-0.3608,0.4492,-0.1094
191,-0.3624,0.5217,-0.3083
192,0.2866,1.4150,-0.3781
193,0.3647,1.8695,-0.5408
194,-0.1362,0.9649,-0.3302
195,0.0632,0.7269,-0.1706
196,0.1351,0.9149,-0.3484
197,0.1545,1.4500,-0.4095
198,0.1127,1.0917,-0.4807
199,-0.0530,0.8193,-0.1541
200,-0.3413,0.4264,-0.2834
201,-0.0368,0.9939,-0.2399
202,0.2812,1.3603,-0.3859
203,0.4697,1.6069,-0.0744
204,-0.1240,0.6733,-0.2642
205,-0.4945,0.4453,-0.2661
206,-0.0192,0.8304,-0.2512
207,0.1313,1.4876,-0.0934
208,0.0604,1.2532,0.1511
209,-0.0668,0.4683,-0.1495
210,0.0104,0.5524,-0.1654
211,0.4267,1.0502,-0.3466
212,0.2549,1.3778,-0.2188
213,-0.2060,0.9572,-0.2867
214,-0.5071,0.7195,-0.4153
215,-0.0536,1.2131,-0.6348
216,0.5933,1.7374,-0.5112
217,0.3835,1.1479,-0.3596
218,-0.0750,0.5056,-0.4841
219,0.0385,0.5109,-0.7440
220,0.4495,1.1040,-0.5119
221,-0.1521,0.9449,-0.4850
222,-0.0009,0.8625,-0.1484
223,-0.3901,0.9702,-0.2116
224,-0.0153,1.5400,0.0932
225,-0.1110,1.1534,-0.1472
226,0.2553,1.1743,-0.0405
227,0.4377,1.0327,-0.3643
228,0.5180,1.0298,0.0067
229,-0.2048,0.0636,-0.2381
230,-0.7922,0.2363,-0.0264
