Sample,X,Y,Z
0,-0.2092,0.9689,-0.0847
1,0.0328,0.9700,-0.0231
2,0.0326,0.9788,-0.0229
3,0.0324,0.9798,-0.0217
4,0.0271,0.9796,-0.0241
5,0.0226,0.9849,-0.0223
6,0.0350,0.9767,-0.0347
7,0.0385,0.9739,-0.0217
8,0.0303,0.9768,-0.0276
9,0.0341,0.9771,-0.0259
10,0.0271,0.9829,-0.0182
11,0.0321,0.9829,-0.0195
12,0.0400,0.9824,-0.0231
13,0.0307,0.9813,-0.0196
14,0.0339,0.9850,-0.0221
15,0.0366,0.9838,-0.0283
16,0.0319,0.9812,-0.0281
17,0.0359,0.9797,-0.0254
18,0.0394,0.9797,-0.0246
19,0.0334,0.9835,-0.0225
20,0.0366,0.9896,-0.0321
21,0.0368,0.9844,-0.0245
22,0.0371,0.9827,-0.0245
23,0.0388,0.9816,-0.0256
24,0.0330,0.9800,-0.0249
25,0.0314,0.9814,-0.0239
26,0.0349,0.9794,-0.0240
27,0.0329,0.9780,-0.0261
28,0.0324,0.9741,-0.0263
29,0.0325,0.9844,-0.0236
30,0.0344,0.9802,-0.0292
31,0.0336,0.9820,-0.0193
32,0.0250,0.9824,-0.0292
33,0.0354,0.9783,-0.0254
34,0.0331,0.9756,-0.0208
35,0.0344,0.9767,-0.0247
36,0.0313,0.9773,-0.0262
37,0.0331,0.9778,-0.0253
38,0.0327,0.9802,-0.0271
39,0.0386,0.9846,-0.0234
40,0.0322,0.9847,-0.0222
41,0.0260,0.9778,-0.0273
42,0.0314,0.9794,-0.0290
43,0.0286,0.9829,-0.0316
44,0.0359,0.9851,-0.0270
45,0.0367,0.9810,-0.0190
46,0.0348,0.9816,-0.0190
47,0.0344,0.9828,-0.0229
48,0.0317,0.9830,-0.0264
49,0.0297,0.9837,-0.0214
50,0.0334,0.9766,-0.0193
51,0.0334,0.9761,-0.0205
52,0.0332,0.9824,-0.0267
53,0.0331,0.9852,-0.0253
54,0.0262,0.9758,-0.0277
55,0.0277,0.9783,-0.0239
56,0.0324,0.9835,-0.0209
57,0.0292,0.9811,-0.0237
58,0.0325,0.9786,-0.0232
59,0.0306,0.9807,-0.0273
60,0.0062,0.9810,-0.0060
61,0.0334,0.9833,0.0001
62,0.0305,0.9756,-0.0201
63,0.0327,0.9769,-0.0276
64,0.0355,0.9781,-0.0290
65,0.0291,0.9829,-0.0212
66,0.0336,0.9783,-0.0216
67,0.0359,0.9741,-0.0211
68,0.0356,0.9783,-0.0212
69,0.0349,0.9791,-0.0242
70,0.0365,0.9797,-0.0244
71,0.0317,0.9796,-0.0193
72,0.0352,0.9745,-0.0234
73,0.0287,0.9824,-0.0225
74,0.0374,0.9881,-0.0195
