Sample,X,Y,Z
0,0.2220,1.2748,0.0507
1,0.0344,0.9703,-0.0245
2,0.0346,0.9893,-0.0261
3,0.0222,0.9774,-0.0251
4,0.0294,0.9744,-0.0266
5,0.0459,0.9800,-0.0197
6,0.0358,0.9882,-0.0233
7,0.0240,0.9759,-0.0255
8,0.0272,0.9774,-0.0280
9,0.0378,0.9809,-0.0207
10,0.0395,0.9783,-0.0154
11,0.0305,0.9768,-0.0224
12,0.0262,0.9767,-0.0242
13,0.0378,0.9863,-0.0241
14,0.0356,0.9810,-0.0214
15,0.0275,0.9796,-0.0206
16,0.0369,0.9766,-0.0201
17,0.0331,0.9756,-0.0227
18,0.0332,0.9848,-0.0253
19,0.0295,0.9793,-0.0286
20,0.0617,0.9754,-0.0419
21,0.0497,0.9820,-0.0463
22,0.0383,0.9800,-0.0322
23,0.0265,0.9814,-0.0286
24,0.0295,0.9833,-0.0251
25,0.0308,0.9741,-0.0258
26,0.0336,0.9807,-0.0251
27,0.0372,0.9893,-0.0198
28,0.0302,0.9788,-0.0234
29,0.0383,0.9778,-0.0233
30,0.0343,0.9753,-0.0220
31,0.0219,0.9774,-0.0231
32,0.0390,0.9889,-0.0255
33,0.0327,0.9820,-0.0211
34,0.0201,0.9716,-0.0254
35,0.0334,0.9807,-0.0286
36,0.0373,0.9836,-0.0292
37,0.0372,0.9825,-0.0234
38,0.0356,0.9761,-0.0239
39,0.0214,0.9756,-0.0274
40,0.0151,0.9946,-0.0246
41,0.0403,0.9848,-0.0302
42,0.0361,0.9807,-0.0247
43,0.0266,0.9692,-0.0248
44,0.0293,0.9762,-0.0238
45,0.0385,0.9875,-0.0256
46,0.0314,0.9846,-0.0300
47,0.0255,0.9727,-0.0270
48,0.0323,0.9749,-0.0216
49,0.0439,0.9888,-0.0234
50,0.0305,0.9859,-0.0229
51,0.0254,0.9780,-0.0303
52,0.0275,0.9715,-0.0302
53,0.0338,0.9796,-0.0198
54,0.0346,0.9781,-0.0231
55,0.0287,0.9851,-0.0261
56,0.0281,0.9745,-0.0240
57,0.0288,0.9769,-0.0253
58,0.0392,0.9814,-0.0198
59,0.0383,0.9813,-0.0266
60,0.0268,0.9819,-0.0154
61,0.0317,0.9857,-0.0270
62,0.0322,0.9788,-0.0281
63,0.0328,0.9885,-0.0255
64,0.0454,0.9861,-0.0205
65,0.0288,0.9766,-0.0233
66,0.0228,0.9791,-0.0277
67,0.0375,0.9812,-0.0227
68,0.0345,0.9814,-0.0234
69,0.0378,0.9874,-0.0246
70,0.0331,0.9784,-0.0270
71,0.0250,0.9753,-0.0251
72,0.0338,0.9802,-0.0277
73,0.0355,0.9834,-0.0233
74,0.0336,0.9813,-0.0239
75,0.0270,0.9738,-0.0246
76,0.0295,0.9808,-0.0261
77,0.0351,0.9818,-0.0251
78,0.0347,0.9746,-0.0223
79,0.0387,0.9796,-0.0233
80,0.0161,0.9783,-0.0188
81,0.0400,0.9797,-0.0365
82,0.0413,0.9874,-0.0263
83,0.0397,0.9859,-0.0225
84,0.0283,0.9785,-0.0238
85,0.0247,0.9717,-0.0249
86,0.0317,0.9844,-0.0262
87,0.0408,0.9879,-0.0219
88,0.0303,0.9746,-0.0237
89,0.0251,0.9727,-0.0243
90,0.0309,0.9785,-0.0183
91,0.0366,0.9854,-0.0240
92,0.0310,0.9890,-0.0261
93,0.0271,0.9697,-0.0172
94,0.0275,0.9756,-0.0176
95,0.0322,0.9863,-0.0224
96,0.0343,0.9859,-0.0253
97,0.0336,0.9756,-0.0212
98,0.0293,0.9737,-0.0261
99,0.0248,0.9778,-0.0273
100,0.0389,0.9863,-0.0261
101,0.0391,0.9883,-0.0574
102,0.0275,0.9757,-0.0253
103,0.0319,0.9744,-0.0249
104,0.0325,0.9850,-0.0305
105,0.0314,0.9869,-0.0226
106,0.0239,0.9810,-0.0233
107,0.0285,0.9789,-0.0257
108,0.0356,0.9814,-0.0241
109,0.0286,0.9788,-0.0212
110,0.0311,0.9824,-0.0239
111,0.0382,0.9729,-0.0214
112,0.0392,0.9798,-0.0216
113,0.0378,0.9870,-0.0208
114,0.0126,0.9641,-0.0178
115,-0.1375,0.8821,-0.0488
116,-0.2180,0.8702,-0.1796
117,0.1453,1.2002,-0.1592
118,0.4040,1.2325,-0.1312
119,0.0419,0.9356,-0.0137
120,-0.2491,0.6526,-0.2454
121,-0.1218,0.8762,-0.3218
122,0.1735,1.2731,-0.3660
123,0.2586,1.1799,-0.1771
124,-0.0163,0.8310,-0.1748
125,-0.0906,0.7675,-0.2913
126,0.2089,1.1218,-0.4479
127,0.2022,1.2216,-0.4094
128,0.0165,0.9221,-0.2745
129,-0.1341,0.6888,-0.2591
130,0.0381,1.0215,-0.2598
131,0.2292,1.2684,-0.3011
132,0.0300,1.1543,-0.2115
133,-0.1475,0.8088,-0.2314
134,-0.0165,0.7696,-0.2810
135,0.1892,1.0092,-0.2811
136,0.1519,1.1138,-0.1901
137,-0.1174,0.9831,-0.1907
138,-0.2563,0.8849,-0.2364
139,0.0412,1.0026,-0.3716
140,0.3292,1.2491,-0.1841
141,0.3292,1.2491,-0.1841
142,0.1803,1.0826,-0.0966
143,-0.2417,0.7239,-0.2394
144,-0.1576,0.7949,-0.4672
145,0.1844,1.1809,-0.3830
146,0.1638,1.2294,-0.2074
147,0.0342,0.9399,-0.2822
148,0.0937,0.8508,-0.2795
149,0.1725,0.8270,-0.5563
150,0.0686,0.9651,-0.3498
151,-0.1128,0.8222,-0.3865
152,-0.2565,0.7534,-0.4002
153,0.2002,1.1584,-0.4317
154,0.5241,1.3771,-0.2567
155,0.1719,1.1083,-0.0964
156,-0.3873,0.5715,-0.2253
157,-0.2726,0.7127,-0.5497
158,0.2810,1.3723,-0.3223
159,0.3778,1.3784,0.0225
160,-0.2817,0.7361,0.0387
161,-0.5498,0.5763,-0.1696
162,0.1722,1.2210,-0.5847
163,0.7073,1.6996,-0.1716
164,0.0380,0.9608,-0.0205
165,-0.7234,0.2002,-0.2313
166,-0.0864,0.8067,-0.4484
167,0.7629,1.7928,-0.4006
168,0.1987,1.3025,-0.1802
169,-0.4017,0.4193,-0.0755
170,-0.4177,0.1523,-0.5297
171,0.5326,1.2001,-0.5140
172,0.5891,1.6320,-0.2989
173,-0.0777,0.9691,-0.0452
174,-0.6279,0.3251,-0.0767
175,-0.2647,0.7484,-0.6335
176,0.6046,1.8806,-0.2344
177,0.4557,1.5047,-0.1302
178,-0.2163,0.7693,-0.0200
179,-0.3650,0.1942,-0.4829
180,0.2781,1.0219,-0.6350
181,0.3093,1.4727,-0.3206
182,0.0100,1.1045,-0.1787
183,-0.3052,0.5261,-0.1999
184,-0.0886,0.4130,-0.6224
185,0.4189,1.3547,-0.3121
186,0.2194,1.4126,-0.2628
187,-0.1189,0.9634,-0.1474
188,-0.1713,0.5533,-0.3195
189,0.0424,1.0928,-0.2315
190,0.1498,1.4498,-0.0200
191,0.0124,1.4134,-0.0521
192,-0.1716,0.9485,-0.2037
193,0.0021,0.5500,-0.2520
194,0.3782,1.0730,-0.2580
195,0.1887,1.1218,-0.0907
196,-0.0944,0.9003,-0.2064
197,-0.5503,0.4445,-0.7432
198,0.1472,0.9352,-0.1807
199,0.4043,1.3104,-0.2580
200,0.1922,1.3084,-0.1448
201,-0.2095,0.8837,-0.3787
202,-0.1377,0.6378,-0.7904
203,0.2227,1.1080,-0.2634
204,-0.0101,0.8273,-0.0927
205,-0.1200,0.6619,-0.2116
206,0.2437,1.0659,-0.3462
207,0.4092,1.2291,-0.2205
208,-0.1694,0.9406,-0.0007
209,-0.4670,0.6868,-0.2457
210,0.2036,1.2507,-0.4586
211,0.5317,1.6271,-0.3618
212,-0.2321,1.1047,-0.1829
213,-0.3863,0.3755,-0.2467
214,0.0818,0.7488,-0.3716
215,0.6328,1.4094,-0.4567
216,0.2439,1.2984,-0.1848
217,-0.5799,0.5240,-0.2829
218,-0.3346,0.5591,-0.5851
219,0.4783,1.4860,-0.3801
220,0.5180,1.7075,-0.0460
221,-0.3242,0.5898,0.0327
222,-0.5127,0.5801,-0.0585
223,0.3477,0.9385,-0.4942
224,0.6337,1.1320,-0.2054
225,-0.2397,0.6683,-0.0251
226,-0.5026,0.5833,-0.2239
227,0.2266,1.5674,-0.3247
228,0.3342,1.5839,-0.4573
229,-0.0955,1.1142,-0.2615
230,-0.3221,0.5712,-0.5126
231,0.2463,0.9614,-0.5852
232,0.6471,0.9670,-0.5296
233,0.2236,0.6362,-0.3070
234,-0.4232,0.5267,-0.3240
235,-0.0222,0.9573,-0.4056
236,0.2328,1.3945,-0.2024
237,-0.2158,1.0535,-0.3750
238,-0.6308,0.8705,0.0864
239,0.1541,1.4442,-0.0404
240,0.8015,1.5593,-0.2657
241,0.9623,1.8455,0.0585
242,-0.1027,0.4316,-0.2868
243,-1.0311,-0.2476,-0.0217
244,-0.2568,0.7277,-0.1219
245,0.3578,1.4998,-0.2400
246,0.2011,1.3871,0.0939
247,-0.3442,0.6968,0.2066
248,-0.5154,0.4416,-0.4744
249,0.6617,1.4772,-0.6727
250,0.8401,1.8890,-0.5136
251,0.0399,0.7513,0.3652
