Sample,X,Y,Z
175,-0.4175,0.3566,-0.2170
176,-0.2136,0.6396,-0.4128
177,0.4957,1.4951,-0.3189
178,0.4545,1.5807,-0.1408
179,-0.0956,0.9068,-0.0541
180,-0.4483,0.2358,-0.4282
181,-0.1032,0.7838,-0.4656
182,0.3782,1.1339,-0.3771
183,0.4268,1.2347,-0.2009
184,0.0131,0.7826,-0.2859
185,-0.2481,0.6021,-0.3944
186,-0.1655,1.0547,-0.4546
187,0.0079,1.5456,-0.2397
188,0.0241,1.3320,-0.2554
189,-0.1575,0.7339,-0.1809
190,0.1867,0.8098,-0.1771
191,0.3749,1.1854,-0.0986
192,0.2248,1.4247,-0.1023
193,-0.1013,1.0231,-0.2673
194,-0.2474,0.5551,-0.2512
195,-0.2268,0.8182,-0.2416
196,0.1484,1.0439,-0.1501
197,0.4509,1.3365,-0.2064
198,0.0084,0.8577,-0.2739
199,-0.1530,0.5028,-0.3645
200,-0.2932,0.7192,-0.3539
201,0.2227,1.4176,-0.4318
202,0.1223,1.2983,-0.4441
203,0.0807,0.8971,-0.3583
204,-0.1263,0.3442,-0.1594
205,0.3392,0.9515,-0.3336
206,0.3517,1.1443,-0.2908
207,-0.0515,1.2249,-0.3281
208,-0.6669,0.5649,-0.4282
209,-0.0775,1.1907,-0.0865
210,0.3541,1.3759,-0.2242
211,0.4548,1.6671,-0.1254
212,0.1377,0.9697,-0.3620
213,-0.2413,0.3063,-0.2706
214,-0.1124,0.4196,-0.3344
215,-0.0104,1.0251,-0.2980
216,0.1870,1.6179,-0.2717
217,0.2018,1.0737,-0.2170
218,-0.0613,0.8679,-0.0549
219,-0.4600,0.5229,-0.5898
220,-0.0762,1.2104,-0.3696
221,0.4415,1.4166,-0.4100
222,0.5150,1.4545,0.0023
223,0.0888,0.4927,-0.1718
224,-0.2324,0.4305,-0.2443
225,0.0076,0.9698,-0.2443
226,0.0198,1.5579,-0.2669
227,-0.3187,1.1016,-0.3799
228,-0.1661,0.8611,-0.1058
229,0.3496,0.8611,-0.4348
230,0.5291,1.5004,-0.2352
231,0.2816,1.1142,-0.6450
232,-0.2092,0.6354,-0.4023
233,-0.3360,0.3779,-0.4791
234,-0.0100,0.8349,-0.1797
235,0.2056,1.1528,-0.3324
236,0.1580,0.9961,-0.2815
237,-0.1627,0.7727,-0.2156
238,0.1095,1.0888,-0.3414
239,0.4376,1.3803,0.2216
240,-0.3707,0.8631,-0.2739
241,-0.3427,1.1045,-0.0245
242,0.1413,1.3561,-0.4050
243,0.4169,0.8741,0.1631
244,0.5317,0.9166,0.0913
245,-0.0638,0.5606,0.1813
246,-0.5717,0.7378,-0.2406
247,-0.4701,1.5605,-0.6588
248,0.1619,1.5997,-0.3655
249,0.3479,1.3578,-0.0085
250,0.0743,0.5566,0.0262
251,0.0922,0.5139,-0.1793
252,0.4243,0.9092,-0.3629
253,0.2636,1.3625,-0.2386
254,-0.2298,0.6957,-0.0098
255,-0.5696,0.0474,-0.0552
256,-0.0944,0.6518,-0.0933
257,0.5051,1.7614,-0.0175
258,0.2369,1.3627,0.0749
259,-0.1377,0.5513,0.2643
260,-0.4082,0.4860,-0.1110
261,0.1062,1.2076,-0.0654
262,0.2986,1.8732,0.1226
263,0.3466,1.4319,0.0973
264,0.1016,0.4838,0.1393
265,-0.4240,0.3920,-0.0657
266,0.0376,0.9305,-0.1379
267,0.1516,1.4042,-0.0097
268,-0.1680,1.0916,-0.0305
269,-0.3016,0.5902,-0.1985
270,-0.3016,0.5902,-0.1985
271,0.0083,0.8736,-0.1390
272,0.5672,1.5757,-0.2161
273,0.4416,1.3366,-0.1240
274,0.0184,0.6733,0.0353
275,-0.0315,0.6629,0.2136
276,-0.2925,1.0156,0.1819
277,-0.1906,1.3942,0.1121
278,-0.1855,1.4065,-0.0775
279,0.1577,0.8592,0.0723
280,0.4146,0.7651,0.1765
281,0.1766,0.4168,0.1234
282,-0.1319,0.4133,-0.1528
283,-0.0798,0.9186,-0.3234
284,0.4363,1.3795,-0.2783
285,0.0375,1.0699,-0.0372
286,-0.2881,0.3657,0.1682
287,-0.5236,0.6305,-0.2645
288,0.1262,1.9114,-0.3653
289,0.8713,1.8551,-0.2227
290,0.2539,0.6369,0.1870
291,-0.1931,0.6671,0.2194
292,-0.6040,0.3516,0.0249
293,-0.2070,0.9798,0.2031
294,0.2753,1.6497,0.1913
295,0.4797,1.7061,0.2153
296,0.0239,0.8002,0.1441
297,-0.2361,0.1852,0.0668
298,-0.1191,0.4573,-0.0274
299,0.1302,1.1064,-0.1492
300,0.1270,1.2711,-0.1537
301,-0.2906,1.0012,-0.1285
302,-0.1595,0.9703,0.0134
303,0.3446,0.9797,-0.1066
304,0.4680,1.4589,0.0793
305,0.1804,0.9827,-0.3766
306,-0.1531,0.7399,-0.3050
307,-0.1845,0.7161,-0.0544
308,0.0435,0.9541,0.1113
309,0.1456,1.0597,0.2248
310,-0.1028,1.1003,0.1772
311,-0.3155,0.8818,-0.0905
312,0.1722,0.9886,-0.2317
313,0.3557,1.3121,-0.1201
314,-0.0808,0.6644,-0.1108
315,0.0717,1.0464,0.0897
316,0.5038,1.5203,-0.0844
317,0.0634,1.1097,-0.1112
318,-0.3030,0.7869,0.0388
319,-0.3821,0.5599,-0.2007
320,-0.1674,0.9373,-0.1765
321,0.5389,1.2806,-0.0246
322,0.5562,1.3257,0.1379
323,-0.1574,0.6092,0.2007
324,-0.7130,0.2874,0.0536
325,-0.1758,0.6943,-0.0863
326,0.3084,1.3662,0.0555
327,0.1685,1.3672,0.0148
328,0.1576,0.8917,0.0505
329,0.1942,1.0456,-0.0159
330,0.0971,1.0394,-0.1218
331,-0.2092,0.8171,-0.1014
332,-0.2339,0.8694,-0.1340
333,-0.1485,1.1107,-0.0681
334,0.4899,1.2430,0.0130
335,0.5997,1.0700,0.0046
336,0.0708,0.9246,0.0187
337,-0.7021,0.4069,-0.3008
338,-0.1108,0.7787,-0.2646
339,0.3169,1.3311,0.0150
340,0.1545,1.1902,0.1718
341,-0.1839,0.8113,0.0983
342,0.0248,0.8690,-0.0291
343,-0.2162,1.0403,-0.0244
344,0.2055,1.2609,0.0183
345,0.2445,1.3569,0.1164
346,0.1296,1.0896,0.3403
347,-0.1254,0.7051,0.1091
348,-0.1337,0.7982,-0.0247
349,0.4376,1.3610,-0.0369
350,0.1950,1.1672,-0.2686
351,-0.1711,0.4047,-0.2300
352,-0.5621,0.0828,-0.0734
353,-0.2453,0.4614,-0.0620
354,0.3894,1.8210,-0.1927
355,0.7120,1.6317,-0.1558
356,0.1452,0.8999,0.1152
357,-0.5338,0.5984,0.0648
358,-0.3022,1.1113,-0.0972
359,0.3395,1.9462,-0.1460
360,0.8424,1.6994,0.0388
361,0.0903,0.8133,0.2232
362,-0.5735,-0.2464,0.0939
363,-0.4409,0.1927,-0.0417
364,0.2510,0.8342,-0.3986
365,0.4155,1.4620,-0.0776
366,-0.0398,0.9835,-0.1304
367,-0.0648,0.5229,-0.1089
368,0.1251,0.8591,-0.0510
369,0.0043,1.6897,-0.0269
370,-0.0899,1.3686,-0.0253
371,-0.3896,0.9895,0.1809
372,0.0347,1.0876,0.1323
373,0.6575,1.3979,0.1105
374,0.5527,1.1731,0.2338
375,-0.2573,0.7097,0.2241
376,-0.8021,-0.0765,-0.2842
377,-0.2524,0.6236,-0.0573
378,0.0473,0.7084,-0.0617
379,0.4069,1.1243,0.1037
380,0.3562,1.1813,-0.0336
381,0.2265,1.0721,-0.0928
382,-0.2494,1.3994,-0.3560
383,-0.2119,1.4963,-0.0837
384,-0.0984,1.1650,-0.0938
385,0.0809,1.3301,-0.0640
386,0.4560,0.9254,-0.1871
387,0.7283,1.1013,0.0193
388,0.4099,0.9070,0.0693
389,-0.4731,-0.1137,-0.0765
390,-0.8597,-0.3206,-0.4060
391,-0.1868,0.6723,0.1100
392,0.2535,1.8408,0.0067
393,0.6103,1.9846,0.2592
394,-0.3618,1.1060,0.2861
395,-0.5373,0.6140,0.0529
396,0.3502,0.9122,-0.1180
397,0.5151,1.4428,0.1332
398,0.5070,1.1545,-0.0415
399,-0.0245,0.5921,-0.0856
400,-0.3610,0.3799,0.0008
401,-0.3135,0.5902,0.0424
402,0.1122,1.0491,-0.1149
403,-0.0432,1.5400,-0.1409
404,0.0467,0.9847,-0.1855
405,-0.1733,0.8841,-0.1172
406,0.1113,1.1514,0.0264
407,0.6509,1.4228,-0.0872
408,0.3670,1.3811,-0.0028
409,-0.0323,0.7394,0.1603
410,-0.6701,0.2425,-0.0683
411,-0.2484,0.5260,-0.2075
412,0.7515,1.4107,-0.2208
413,0.6021,1.2651,-0.1024
414,-0.2552,0.5189,0.0690
415,-0.7896,0.0978,-0.0565
416,-0.4276,0.7304,-0.1313
417,0.3577,1.9171,-0.0145
418,0.7286,1.9708,0.1789
419,0.2192,0.9152,0.2674
420,-0.2942,0.5724,0.1110
421,-0.2056,0.7642,-0.1487
422,0.2603,1.4560,-0.0604
423,0.1473,1.1386,0.0345
424,-0.2209,0.6047,0.1469
425,-0.4128,0.2491,0.1133
426,-0.1353,0.5828,0.1076
427,0.2839,1.3694,-0.0244
428,0.4399,1.8699,-0.0649
429,0.1320,1.0242,-0.1827
