Sample,X,Y,Z
0,0.1033,0.8870,0.1464
1,0.0349,0.9670,-0.0226
2,0.0322,0.9779,-0.0195
3,0.0334,0.9841,-0.0247
4,0.0355,0.9774,-0.0173
5,0.0277,0.9734,-0.0189
6,0.0344,0.9771,-0.0261
7,0.0373,0.9786,-0.0247
8,0.0323,0.9707,-0.0183
9,0.0361,0.9741,-0.0212
10,0.0316,0.9819,-0.0221
11,0.0322,0.9807,-0.0254
12,0.0347,0.9832,-0.0203
13,0.0281,0.9817,-0.0239
14,0.0258,0.9817,-0.0229
15,0.0358,0.9825,-0.0273
16,0.0330,0.9822,-0.0263
17,0.0334,0.9805,-0.0229
18,0.0380,0.9766,-0.0245
19,0.0316,0.9760,-0.0214
20,0.0488,0.9810,-0.0280
21,0.0359,0.9844,-0.0349
22,0.0312,0.9743,-0.0198
23,0.0309,0.9786,-0.0196
24,0.0367,0.9827,-0.0232
25,0.0329,0.9819,-0.0222
26,0.0307,0.9851,-0.0264
27,0.0365,0.9805,-0.0219
28,0.0328,0.9792,-0.0189
29,0.0324,0.9813,-0.0209
30,0.0316,0.9844,-0.0229
31,0.0271,0.9786,-0.0246
32,0.0339,0.9839,-0.0196
33,0.0373,0.9858,-0.0261
34,0.0339,0.9807,-0.0268
35,0.0344,0.9792,-0.0293
36,0.0329,0.9798,-0.0248
37,0.0311,0.9758,-0.0256
38,0.0365,0.9796,-0.0234
39,0.0334,0.9766,-0.0222
40,0.0178,0.9764,-0.0122
41,0.0396,0.9833,-0.0403
42,0.0400,0.9764,-0.0270
43,0.0348,0.9795,-0.0227
44,0.0286,0.9851,-0.0186
45,0.0292,0.9756,-0.0261
46,0.0345,0.9836,-0.0265
47,0.0368,0.9841,-0.0203
48,0.0358,0.9839,-0.0187
49,0.0290,0.9814,-0.0182
50,0.0348,0.9783,-0.0225
51,0.0397,0.9830,-0.0222
52,0.0322,0.9861,-0.0179
53,0.0312,0.9802,-0.0229
54,0.0328,0.9769,-0.0229
55,0.0359,0.9773,-0.0214
56,0.0388,0.9827,-0.0273
57,0.0349,0.9783,-0.0235
58,0.0328,0.9756,-0.0195
59,0.0334,0.9839,-0.0278
60,0.0170,0.9756,-0.0268
61,0.0256,0.9751,-0.0154
62,0.0385,0.9783,-0.0212
63,0.0327,0.9838,-0.0229
64,0.0345,0.9825,-0.0240
65,0.0352,0.9834,-0.0168
66,0.0312,0.9818,-0.0193
67,0.0354,0.9779,-0.0250
68,0.0358,0.9775,-0.0261
69,0.0313,0.9824,-0.0200
70,0.0283,0.9766,-0.0259
71,0.0336,0.9822,-0.0271
72,0.0356,0.9793,-0.0240
73,0.0303,0.9771,-0.0305
74,0.0280,0.9759,-0.0308
