Sample,X,Y,Z
0,0.0270,0.5694,0.0282
1,0.0280,0.9636,-0.0270
2,0.0307,0.9784,-0.0274
3,0.0344,0.9741,-0.0234
4,0.0356,0.9834,-0.0221
5,0.0327,0.9868,-0.0208
6,0.0273,0.9809,-0.0217
7,0.0253,0.9744,-0.0203
8,0.0307,0.9824,-0.0222
9,0.0380,0.9858,-0.0215
10,0.0356,0.9800,-0.0237
11,0.0345,0.9832,-0.0231
12,0.0314,0.9817,-0.0211
13,0.0334,0.9857,-0.0159
14,0.0364,0.9792,-0.0234
15,0.0341,0.9800,-0.0239
16,0.0307,0.9800,-0.0195
17,0.0348,0.9810,-0.0231
18,0.0298,0.9861,-0.0214
19,0.0344,0.9793,-0.0289
20,0.3356,1.3684,0.0339
21,0.0350,0.9792,-0.0253
22,0.0351,0.9772,-0.0259
23,0.0269,0.9797,-0.0287
24,0.0354,0.9822,-0.0277
25,0.0359,0.9808,-0.0228
26,0.0346,0.9832,-0.0242
27,0.0288,0.9834,-0.0179
28,0.0276,0.9816,-0.0206
29,0.0400,0.9780,-0.0241
30,0.0319,0.9875,-0.0165
31,0.0314,0.9814,-0.0193
32,0.0334,0.9867,-0.0193
33,0.0339,0.9792,-0.0270
34,0.0308,0.9747,-0.0264
35,0.0397,0.9778,-0.0245
36,0.0312,0.9763,-0.0256
37,0.0344,0.9810,-0.0305
38,0.0288,0.9750,-0.0259
39,0.0285,0.9761,-0.0200
40,0.0118,0.9728,-0.0297
41,0.0244,0.9940,-0.0173
42,0.0361,0.9827,-0.0247
43,0.0311,0.9812,-0.0262
44,0.0305,0.9761,-0.0211
45,0.0302,0.9795,-0.0244
46,0.0373,0.9827,-0.0239
47,0.0287,0.9744,-0.0217
48,0.0245,0.9824,-0.0221
49,0.0336,0.9764,-0.0287
50,0.0392,0.9802,-0.0257
51,0.0330,0.9865,-0.0195
52,0.0385,0.9807,-0.0236
53,0.0362,0.9800,-0.0275
54,0.0308,0.9800,-0.0278
55,0.0386,0.9809,-0.0231
56,0.0367,0.9761,-0.0251
57,0.0334,0.9838,-0.0261
58,0.0324,0.9802,-0.0212
59,0.0295,0.9788,-0.0241
60,0.0251,0.9827,-0.0330
61,0.0251,0.9827,-0.0330
62,0.0282,0.9835,-0.0368
63,0.0359,0.9871,-0.0291
64,0.0316,0.9778,-0.0216
65,0.0352,0.9796,-0.0217
66,0.0341,0.9809,-0.0261
67,0.0352,0.9835,-0.0209
68,0.0333,0.9815,-0.0268
69,0.0281,0.9762,-0.0261
70,0.0282,0.9776,-0.0303
71,0.0329,0.9838,-0.0240
72,0.0343,0.9833,-0.0231
73,0.0349,0.9839,-0.0222
74,0.0356,0.9814,-0.0243
75,0.0328,0.9791,-0.0282
76,0.0344,0.9849,-0.0221
77,0.0385,0.9789,-0.0229
78,0.0283,0.9813,-0.0246
79,0.0336,0.9757,-0.0281
80,0.0383,0.9905,-0.0105
81,0.0286,0.9849,-0.0251
82,0.0330,0.9791,-0.0263
83,0.0293,0.9766,-0.0201
84,0.0330,0.9789,-0.0217
85,0.0358,0.9803,-0.0288
86,0.0270,0.9792,-0.0319
87,0.0292,0.9791,-0.0243
88,0.0319,0.9778,-0.0233
89,0.0284,0.9835,-0.0229
90,0.0282,0.9846,-0.0181
91,0.0278,0.9792,-0.0240
92,0.0359,0.9762,-0.0255
93,0.0349,0.9736,-0.0226
94,0.0364,0.9833,-0.0234
95,0.0331,0.9807,-0.0255
96,0.0341,0.9766,-0.0291
97,0.0308,0.9771,-0.0273
98,0.0353,0.9836,-0.0198
99,0.0361,0.9830,-0.0226
100,0.0181,0.9750,-0.0291
101,0.0233,0.9749,-0.0624
102,0.0362,0.9816,-0.0241
103,0.0359,0.9771,-0.0229
104,0.0344,0.9794,-0.0258
105,0.0311,0.9866,-0.0226
106,0.0308,0.9816,-0.0274
107,0.0314,0.9886,-0.0207
108,0.0328,0.9824,-0.0222
109,0.0333,0.9800,-0.0206
110,0.0321,0.9859,-0.0244
111,0.0339,0.9846,-0.0228
112,0.0346,0.9722,-0.0267
113,0.0297,0.9805,-0.0236
114,0.0371,0.9844,-0.0234
115,0.0308,0.9834,-0.0185
116,-0.0002,0.9537,-0.0239
117,-0.1919,0.8469,-0.0682
118,-0.1365,0.9730,-0.2025
119,0.2036,1.2472,-0.1190
120,0.2726,1.1085,-0.0795
121,-0.0672,0.7581,-0.0691
122,-0.1370,0.7983,-0.3214
123,0.0329,1.1378,-0.3649
124,0.2075,1.2212,-0.3262
125,0.1200,0.9627,-0.2054
126,-0.0581,0.7822,-0.2197
127,0.0408,0.9312,-0.3702
128,0.2240,1.1985,-0.4106
129,0.0707,1.0386,-0.3712
130,-0.0750,0.8144,-0.2313
131,0.0057,0.8900,-0.2574
132,0.1636,1.1820,-0.2233
133,0.0942,1.1841,-0.2288
134,-0.1200,0.9457,-0.1790
135,-0.0884,0.8506,-0.2007
136,0.0974,0.9373,-0.2444
137,0.1349,1.0143,-0.2134
138,-0.0026,0.9627,-0.1951
139,-0.1384,0.8913,-0.2603
140,-0.0883,0.9451,-0.3597
141,0.2261,1.1280,-0.3879
142,0.2777,1.1749,-0.2237
143,-0.0211,0.9208,-0.2060
144,-0.2095,0.7589,-0.3795
145,0.0106,1.0197,-0.4415
146,0.2358,1.2509,-0.3309
147,0.0688,1.1129,-0.1917
148,0.0559,0.8672,-0.2850
149,0.1597,0.8583,-0.3677
150,0.1307,0.9294,-0.4138
151,-0.0432,0.8458,-0.3342
152,-0.2437,0.7356,-0.3323
153,-0.1612,0.8076,-0.4323
154,0.3591,1.2751,-0.2663
155,0.4332,1.2643,-0.1448
156,-0.1049,0.8729,-0.0521
157,-0.4075,0.5606,-0.3823
158,-0.0274,1.0491,-0.4033
159,0.3799,1.4768,-0.1670
160,0.1569,1.1556,0.0615
161,-0.4564,0.6443,-0.0154
162,-0.3140,0.7241,-0.4912
163,0.5260,1.6462,-0.4377
164,0.5088,1.4186,-0.2171
165,-0.3549,0.5486,-0.0556
166,-0.5527,0.2517,-0.5455
167,0.3500,1.3895,-0.5037
168,0.6963,1.8444,-0.2982
169,-0.1387,0.8401,-0.2090
170,-0.4994,0.2798,-0.1351
171,-0.0034,0.5029,-0.7219
172,0.5865,1.6782,-0.3481
173,0.3998,1.3756,-0.1790
174,-0.3402,0.5317,0.0109
175,-0.6365,0.3334,-0.1684
176,0.1914,1.1080,-0.5146
177,0.6232,1.8687,-0.1201
178,0.1285,1.1816,-0.1079
179,-0.3181,0.3706,-0.0725
180,-0.2701,0.4026,-0.5535
181,0.2168,1.3103,-0.4067
182,0.1451,1.4562,-0.2667
183,0.0092,1.0314,-0.2443
184,-0.0801,0.5669,-0.2401
185,0.0962,0.7122,-0.5042
186,0.2327,1.2664,-0.2501
187,-0.1646,1.2724,-0.3440
188,-0.0449,0.9280,-0.2665
189,0.1372,0.8253,-0.2848
190,0.2997,1.1022,-0.0244
191,0.0258,1.1331,-0.1868
192,-0.0454,1.2698,-0.1926
193,0.1112,0.9922,-0.4821
194,0.1272,0.9238,-0.2932
195,-0.2151,0.7527,-0.1795
196,-0.1967,0.9636,-0.2022
197,0.0966,1.1644,-0.4966
198,0.4611,1.1942,-0.2772
199,0.1877,0.7838,-0.0441
200,-0.4090,0.3826,-0.0808
201,-0.2663,0.7678,-0.3475
202,0.2658,1.5564,-0.7518
203,0.3569,1.2689,-0.2756
204,0.0971,0.7148,0.0781
205,-0.4120,0.2963,-0.0898
206,-0.3433,0.7156,-0.3515
207,0.2009,1.5822,-0.7310
208,0.4265,1.6505,-0.0316
209,0.1401,0.7410,0.1247
210,-0.3975,0.4106,-0.1052
211,0.5219,1.5473,-0.6445
212,0.4577,1.8279,-0.4772
213,-0.3035,0.9848,-0.3390
214,-0.4530,-0.0808,-0.3946
215,0.2264,0.6541,-0.4522
216,0.2116,1.2775,-0.5966
217,0.1149,1.3799,-0.3380
218,0.1230,1.0114,-0.2190
219,-0.2217,0.3943,-0.2802
220,0.0466,0.8561,-0.2930
221,0.2754,1.5351,-0.0613
222,0.0796,1.4565,-0.1629
223,-0.1950,0.8547,-0.0841
224,-0.1179,0.6505,0.0399
225,-0.0706,0.5764,-0.0932
226,-0.0325,0.8132,-0.1523
227,0.3196,1.4584,-0.2336
228,0.2878,1.2522,-0.2252
229,-0.3267,0.5920,-0.4928
230,-0.2860,0.8334,-0.3837
231,0.2383,1.4946,-0.5004
232,0.4619,1.5060,-0.5376
233,-0.0060,0.5286,-0.4863
234,-0.1642,0.3264,-0.3682
235,0.2913,0.9735,-0.4522
236,0.6089,1.5210,-0.3248
237,-0.1456,0.7786,-0.3721
238,-0.7699,0.4878,-0.2859
239,-0.3299,1.1774,-0.0757
240,0.4566,1.7947,0.0248
241,0.6899,1.5464,-0.0983
242,0.3406,0.9568,0.0070
243,-0.3661,0.2191,-0.0616
244,-0.5569,0.2397,-0.1934
245,0.1669,1.3461,-0.1216
246,0.3754,1.5562,-0.0946
247,-0.2385,0.9521,0.0593
248,-0.1826,0.7796,0.1827
249,-0.0414,0.5945,-0.5125
250,0.2661,1.4687,-0.4800
251,0.1209,1.2441,-0.5994
252,-0.0070,0.8544,0.0561
253,0.0072,0.7981,0.0358
254,-0.0062,0.6115,-0.0876
255,0.1273,1.0576,-0.2101
256,0.5115,1.1874,-0.2938
257,0.0834,0.8408,-0.1299
258,-0.3378,0.2039,0.1035
259,-0.3796,0.6357,0.0575
260,-0.0235,1.5743,-0.0987
261,0.3986,1.9457,0.0455
262,0.4421,1.3989,0.1277
263,-0.1940,0.4392,0.1017
264,-0.2079,0.0748,0.0828
265,0.1310,0.9487,-0.0803
266,0.5431,1.8817,-0.1367
267,0.1724,1.3608,-0.0198
268,-0.8385,0.2097,0.1423
269,-0.6907,0.1666,0.0055
270,0.0621,0.4985,-0.2823
271,0.9202,1.8539,-0.0991
272,0.5073,1.6180,-0.2606
273,-0.5193,0.5075,0.0060
274,-0.2809,0.4614,0.2431
275,0.5400,1.4114,0.2582
276,0.1547,1.8270,0.1665
277,-0.3326,1.3676,0.1334
278,-0.3318,0.6902,-0.1514
279,-0.0630,0.3865,-0.0305
280,0.2468,0.6067,0.2006
281,0.3003,0.8238,-0.0178
282,0.0945,0.9774,-0.2973
283,0.5848,0.9557,-0.2881
284,-0.0671,0.8625,-0.1651
285,-0.5244,0.5202,-0.1510
286,-0.3839,0.8630,-0.1028
287,0.1404,1.6653,-0.1821
288,0.5817,1.7045,-0.1343
289,0.3043,0.8743,-0.0349
290,0.1313,0.4768,0.0192
291,-0.1159,1.0066,0.0344
292,-0.4749,0.9292,0.0015
293,-0.4065,1.1465,0.2376
294,0.0995,1.0396,0.2526
295,0.4306,1.1866,0.2578
296,0.8013,1.4285,0.2086
297,-0.1564,0.5869,-0.2092
298,-0.6468,0.2888,-0.1584
299,0.1323,1.2481,-0.0571
300,0.0677,1.4945,-0.0342
301,-0.0366,0.8630,0.1207
302,-0.4678,0.6612,0.1484
303,0.2285,1.2569,-0.1419
304,0.8965,1.5209,-0.3170
305,0.4526,1.1160,-0.1259
306,-0.4669,0.1689,-0.1052
307,-0.6711,-0.1126,-0.1245
308,-0.0497,0.9859,-0.0046
309,0.4000,1.7928,0.0112
310,0.3992,1.2241,0.1013
311,-0.2286,0.9969,0.2119
312,-0.4122,0.3923,-0.2620
313,0.4640,1.1481,-0.3347
314,0.2371,1.5629,-0.0274
315,0.0358,0.9983,0.0531
316,-0.2308,0.6852,0.1455
317,-0.0721,0.9202,0.0405
318,0.3231,1.3728,-0.0693
319,0.0161,1.2535,-0.1472
320,-0.0442,0.8970,-0.0357
321,-0.0190,0.5520,-0.0125
322,-0.0493,0.6750,0.0970
323,-0.1880,0.8044,0.1378
324,0.1189,1.2656,0.0927
325,0.1446,1.2554,-0.0249
326,0.0841,0.7282,-0.0187
327,-0.0823,0.5471,0.0118
328,0.0287,0.7760,-0.1846
329,-0.2204,0.7531,0.0248
330,-0.5391,0.6182,0.0620
331,-0.0689,0.8509,0.0118
332,0.5986,1.7578,-0.0851
333,0.5782,1.2977,-0.3448
334,0.2312,0.7996,0.0457
335,-0.4028,0.6022,-0.0430
336,0.0193,0.6780,-0.2076
337,0.2985,1.3156,-0.0439
338,-0.2525,1.2828,0.0946
339,-0.5893,0.4653,-0.1312
340,-0.2499,0.7122,0.0006
341,0.3698,1.2376,0.0797
342,0.8178,1.7827,0.1038
343,0.2756,1.6510,0.1499
344,-0.3508,0.2180,0.2210
345,-0.3892,0.5344,0.0856
346,-0.0439,0.8354,-0.1721
347,0.4365,1.2404,0.1167
348,0.1149,1.1456,0.0859
349,-0.2352,0.5885,-0.2620
350,0.1147,0.3769,-0.2476
351,-0.0703,0.9184,0.0795
352,-0.1231,1.0043,-0.0881
353,-0.2732,0.6693,-0.2372
354,-0.1737,1.3522,-0.0700
355,0.6570,1.9792,0.1128
356,0.8337,1.7963,0.2668
357,-0.2280,0.6541,0.0449
358,-0.4149,0.1545,-0.1663
359,-0.0302,0.8838,-0.4769
360,0.3282,1.2671,-0.0440
361,0.2652,1.0506,0.2109
362,-0.5618,0.1377,0.1602
363,-0.6307,0.1705,-0.1456
364,0.3779,1.4189,-0.3983
365,0.9007,1.8833,-0.3323
366,0.2396,1.0618,0.1135
367,-0.3920,0.2361,0.1359
368,-0.4394,0.5619,0.1320
369,-0.1465,1.2557,0.0944
370,0.6089,1.9995,0.0939
371,0.5315,1.5329,0.0605
372,-0.6959,0.1884,0.0453
373,-0.1517,-0.1649,0.0262
374,-0.1345,0.3568,-0.0043
375,0.1531,1.0886,-0.0014
376,0.3013,1.2128,-0.0798
377,-0.0831,0.6973,0.0588
378,-0.5345,0.7383,-0.0072
379,0.1747,1.4371,-0.1380
380,0.5216,1.9819,-0.1757
381,0.3422,1.7993,0.1251
382,0.2772,1.0135,-0.1252
383,-0.4691,0.2957,-0.1944
384,0.0594,0.4599,-0.1025
385,0.5162,1.1697,-0.1751
386,-0.0997,0.7900,-0.2234
387,-0.1024,0.2132,-0.1061
388,-0.0688,0.3802,-0.0552
389,-0.0430,0.7479,-0.0344
390,0.0990,1.1463,-0.0670
391,-0.3498,1.5529,0.0371
392,-0.2317,1.6177,0.1972
393,0.1579,1.4391,0.2135
394,0.4790,1.1472,0.1885
395,0.4527,1.0187,0.2126
396,0.0165,0.6530,0.0588
397,-0.2180,0.3317,-0.1486
398,-0.1529,0.8311,-0.1873
399,0.0646,0.8731,0.0090
400,-0.0595,0.9458,0.2330
401,-0.4487,0.9134,0.0118
402,-0.2962,1.2148,-0.2875
403,0.2635,1.6122,-0.3743
404,0.7468,1.3881,0.0917
405,0.4515,0.8726,0.1288
406,-0.2480,0.3005,-0.0024
407,-0.1511,0.9579,-0.1172
408,0.4759,1.6589,-0.1693
409,0.0004,0.9969,-0.1833
410,-0.4783,0.2958,-0.0410
411,-0.2824,0.0988,-0.2131
412,0.3129,0.8200,-0.0726
413,0.4631,1.3802,-0.0277
414,-0.1456,1.0671,0.0538
415,-0.4439,0.9438,-0.0317
416,0.1043,1.4614,0.0193
417,0.4084,1.8842,0.2051
